date,open,high,low,close,pct
1988-05-03,176.85,179.63,176.85,179.0,1.27
1988-05-04,179.12,180.11,178.43,178.63,-0.21
1988-05-05,178.53,178.66,177.15,177.68,-0.53
1988-05-06,177.7,178.62,176.95,177.18,-0.28
1988-05-09,177.11,177.11,174.43,174.93,-1.27
1988-05-10,174.81,175.58,173.41,174.32,-0.35
1988-05-11,174.01,174.01,169.83,170.8,-2.02
1988-05-12,170.82,172.03,170.82,171.71,0.53
1988-05-13,171.97,173.96,171.97,173.85,1.25
1988-05-16,174.05,175.2,173.37,174.99,0.66
1988-05-17,175.25,177.36,174.07,174.07,-0.52
1988-05-18,174.07,174.16,169.73,170.29,-2.17
1988-05-19,170.15,170.55,167.52,170.35,0.04
1988-05-20,170.45,171.55,169.65,169.89,-0.27
1988-05-23,169.74,169.8,166.77,167.65,-1.32
1988-05-24,167.8,169.33,167.27,169.21,0.93
1988-05-25,169.23,170.15,168.84,169.01,-0.12
1988-05-26,169.07,170.08,168.7,169.86,0.5
1988-05-27,169.7,169.96,168.96,169.59,-0.16
1988-05-31,169.52,173.45,169.41,173.35,2.22
1988-06-01,173.49,177.26,173.49,176.68,1.92
1988-06-02,176.54,178.1,175.78,176.45,-0.13
1988-06-03,176.67,178.68,176.51,178.01,0.88
1988-06-06,177.93,179.8,177.88,179.75,0.98
1988-06-07,179.59,181.08,179.16,179.77,0.01
1988-06-08,179.87,183.14,179.78,183.02,1.81
1988-06-09,183.02,183.57,181.9,182.78,-0.13
1988-06-10,182.83,185.18,182.33,184.29,0.83
1988-06-13,184.49,185.01,183.77,184.74,0.24
1988-06-14,185.09,187.16,185.09,185.78,0.56
1988-06-15,185.54,186.17,184.46,186.11,0.18
1988-06-16,185.78,185.78,183.83,184.51,-0.86
1988-06-17,184.69,184.97,183.37,183.94,-0.31
1988-06-20,184.0,184.0,182.76,183.2,-0.41
1988-06-21,183.39,184.79,182.78,184.79,0.87
1988-06-22,184.93,187.6,184.93,186.98,1.19
1988-06-23,186.98,187.49,186.33,187.07,0.05
1988-06-24,187.16,187.75,186.64,187.35,0.15
1988-06-27,187.1,187.16,185.05,185.12,-1.19
1988-06-28,185.09,188.31,184.73,188.19,1.66
1988-06-29,188.27,189.17,186.89,187.79,-0.22
1988-06-30,187.73,189.35,187.43,189.03,0.66
1988-07-01,189.23,190.18,188.92,189.96,0.49
1988-07-05,189.95,191.96,188.77,191.91,1.03
1988-07-06,191.83,192.77,190.1,190.43,-0.77
1988-07-07,190.34,190.34,188.05,189.39,-0.55
1988-07-08,189.22,189.3,187.81,188.15,-0.65
1988-07-11,188.42,188.95,187.44,187.69,-0.24
1988-07-12,188.31,188.55,186.2,187.24,-0.24
1988-07-13,187.24,188.56,186.56,188.12,0.47
1988-07-14,188.18,188.97,187.35,188.68,0.3
1988-07-15,188.57,189.33,188.0,188.51,-0.09
1988-07-18,188.59,189.37,187.67,188.8,0.15
1988-07-19,188.53,188.53,184.97,185.78,-1.6
1988-07-20,185.85,186.82,184.69,185.26,-0.28
1988-07-21,184.92,184.92,182.1,182.41,-1.54
1988-07-22,182.38,182.38,180.37,181.86,-0.3
1988-07-25,181.83,182.06,180.62,181.59,-0.15
1988-07-26,181.3,181.3,179.32,179.71,-1.04
1988-07-27,179.74,180.44,176.95,177.37,-1.3
1988-07-28,177.46,178.59,176.38,178.22,0.48
1988-07-29,178.51,181.32,178.51,181.16,1.65
1988-08-01,181.16,182.19,180.69,181.44,0.15
1988-08-02,181.44,182.09,179.65,180.54,-0.5
1988-08-03,180.69,181.32,180.02,181.07,0.3
1988-08-04,181.15,181.99,180.8,181.18,0.06
1988-08-05,181.17,181.17,179.77,179.9,-0.71
1988-08-08,180.04,180.77,179.7,179.82,-0.04
1988-08-09,179.95,180.05,176.18,177.27,-1.42
1988-08-10,177.08,177.11,172.68,172.68,-2.59
1988-08-11,172.97,174.69,172.97,174.64,1.13
1988-08-12,174.52,174.55,173.1,173.75,-0.51
1988-08-15,173.63,173.63,169.97,170.09,-2.11
1988-08-16,170.09,173.63,169.0,172.65,1.51
1988-08-17,172.55,173.93,171.76,172.91,0.15
1988-08-18,172.89,174.56,172.75,173.55,0.37
1988-08-19,173.69,174.29,172.33,172.82,-0.42
1988-08-22,172.73,172.99,169.72,169.9,-1.69
1988-08-23,169.92,170.39,168.85,169.61,-0.17
1988-08-24,169.72,172.16,169.21,171.96,1.39
1988-08-25,171.49,171.52,168.89,170.53,-0.83
1988-08-26,170.29,171.21,170.29,170.98,0.26
1988-08-29,171.14,173.22,171.14,172.77,1.04
1988-08-30,172.85,173.01,171.75,172.37,-0.23
